Results,Year,Age,Previous marathons,GDP,Weight,Height,Last Time
7682.0,1997,49,10,13115773737.5664,,,
7690.0,2002,49,10,13147743910.7241,,,7694.0
7693.0,1998,49,10,14093998843.7334,,,7704.0
7694.0,2001,49,10,12986007425.8781,,,7693.0
7704.0,1997,49,10,13115773737.5664,,,7682.0
7496.0,2012,33,2,50412754821.9795,,,
7607.0,2014,33,2,61445345999.0765,,,7496.0
7498.0,2011,39,4,15517926000000.0,61.0,180.0,7577.0
7577.0,2008,39,4,14718582000000.0,61.0,180.0,7704.0
7684.0,2011,39,4,15517926000000.0,61.0,180.0,7498.0
7704.0,2007,39,4,14477635000000.0,61.0,180.0,
7504.0,2009,39,9,37021512048.8158,62.0,177.0,7658.0
7611.0,2007,39,9,31958195182.2406,62.0,177.0,
7614.0,2009,39,9,37021512048.8158,62.0,177.0,7504.0
7658.0,2008,39,9,35895153327.8497,62.0,177.0,7611.0
7658.0,2011,39,9,41953433591.4101,62.0,177.0,7684.0
7665.0,2017,39,9,,62.0,177.0,7686.0
7676.0,2012,39,9,50412754821.9795,62.0,177.0,7658.0
7684.0,2010,39,9,39999659233.7555,62.0,177.0,7614.0
7686.0,2016,39,9,70529014778.3251,62.0,177.0,7676.0
7510.0,2009,35,6,37021512048.8158,,,7592.0
7524.0,2008,35,6,35895153327.8497,,,7599.0
7541.0,2009,35,6,37021512048.8158,,,7510.0
7584.0,2010,35,6,39999659233.7555,,,7541.0
7592.0,2008,35,6,35895153327.8497,,,7524.0
7599.0,2007,35,6,31958195182.2406,,,
7513.0,2010,34,6,39999659233.7555,,,7568.0
7533.0,2011,34,6,41953433591.4101,,,7513.0
7547.0,2009,34,6,37021512048.8158,,,7696.0
7568.0,2009,34,6,37021512048.8158,,,7547.0
7575.0,2013,34,6,55097343447.5616,,,7533.0
7696.0,2008,34,6,35895153327.8497,,,
7513.0,2016,33,5,70529014778.3251,,,7621.0
7537.0,2012,33,5,50412754821.9795,,,
7571.0,2015,33,5,63767539356.6051,,,7537.0
7587.0,2017,33,5,,,,7513.0
7621.0,2015,33,5,63767539356.6051,,,7571.0
7515.0,2008,43,6,35895153327.8497,,,7661.0
7545.0,2011,43,6,41953433591.4101,,,7515.0
7601.0,2006,43,6,25825524820.8064,,,7646.0
7611.0,2012,43,6,50412754821.9795,,,7545.0
7646.0,2005,43,6,18737897744.7948,,,
7661.0,2007,43,6,31958195182.2406,,,7601.0
7516.0,2011,32,1,41953433591.4101,,,
7516.0,2016,30,6,72374224249.3997,,,7586.0
7586.0,2015,30,6,64464547915.2698,,,7651.0
7616.0,2016,30,6,72374224249.3997,,,7516.0
7626.0,2015,30,6,64464547915.2698,,,
7651.0,2015,30,6,64464547915.2698,,,7626.0
7681.0,2017,30,6,,,,7616.0
7521.0,2015,32,6,63767539356.6051,,,7648.0
7539.0,2010,32,6,39999659233.7555,,,
7604.0,2012,32,6,50412754821.9795,,,7685.0
7648.0,2014,32,6,61445345999.0765,,,7604.0
7667.0,2016,32,6,70529014778.3251,,,7521.0
7685.0,2010,32,6,39999659233.7555,,,7539.0
7521.0,2016,29,3,70529014778.3251,,,7698.0
7548.0,2017,29,3,,,,7521.0
7698.0,2014,29,3,61445345999.0765,,,
7525.0,2010,33,1,29933790334.3418,,,
